1702|1|2020-11-10 12:50:00|a|IMPALA|TRUE|CHEVROLET|Mini|5|5300|Gasolina|||Pasajeros|Mecanica||
1703|1|2020-11-10 12:50:00|a|CAMION 9150|TRUE|VOLKSWAGEN|Carga|0|4300|Diesel|||Toneladas|Mecanica||
1704|1|2020-11-10 12:50:00|a|NEW SPORT 1991|TRUE|KIA|Mini|0|2000|Gasolina|||Pasajeros|Mecanica||
1705|1|2020-11-10 12:50:00|a|MAZDA 3 1,6|TRUE|MAZDA|Small|0|1600|Gasolina|||Pasajeros|Mecanica|MAZDA 3|
1706|1|2020-11-10 12:50:00|a|WAGON R   1,0|TRUE|CHEVROLET|Small|0|1000|Gasolina|||Pasajeros|Mecanica|WAGON|
1707|1|2020-11-10 12:50:00|a|HILUX ESTACAS  4X2|TRUE|TOYOTA|Pasajeros|1|2400|Gasolina|||Pasajeros|Mecanica||
1708|1|2020-11-10 12:50:00|a|PEUGEOT  207 COMPACT|TRUE|PEUGEOT|Small|0|1600|Gasolina|||Pasajeros|Mecanica||
XKCS636JN13|1|2020-11-10 12:50:00|a|CAPTIVA SPORT 3,6|TRUE|CHEVROLET|Utilitarios|5|3600|Gasolina|||Pasajeros|Automatica|CAPTIVA|
1710|1|2020-11-10 12:50:00|a|LUV 4X2 2,2  GAS|TRUE|CHEVROLET|Mini|0|3000|Diesel|||Pasajeros|Mecanica|LUV|
1712|1|2020-11-10 12:50:00|a|CAMION 15-180|TRUE|VOLKSWAGEN|Carga|0|0|Diesel|||Toneladas|Mecanica||
CNQR446OPC1|1|2020-11-10 12:50:00|a|NQR CAMION|TRUE|CHEVROLET|Carga|5695|5200|Diesel|||Toneladas|Mecanica|NQR|
10 IWNR412LEC9|1|2020-11-10 12:50:00|a|VAN N200 1,2L M*T S-A|TRUE|CHEVROLET|Van|0|1200|Gasolina|||Pasajeros|Mecanica|N200|
1715|1|2020-11-10 12:50:00|a|NEWSPORTAGE 2,0|TRUE|KIA|Utilitarios|5|2000|Gasolina|||Pasajeros|Mecanica|NEW SPORTAGE|
1716|1|2020-11-10 12:50:00|a|VAN N200 CARGA|TRUE|CHEVROLET|Van|0|1200|Gasolina|||Pasajeros|Mecanica|N200|
1719|1|2020-11-10 12:50:00|a|STEPWAY|TRUE|RENAULT|Mini|0|1600|Gasolina|||Pasajeros|Mecanica|STEPWAY|
XKCR424CNI0|1|2020-11-10 12:50:00|a|CAPTIVA SPORT 2,4|TRUE|CHEVROLET|Utilitarios|5|2400|Gasolina|||Pasajeros|Automatica|CAPTIVA|
1721|1|2020-11-10 12:50:00|a|SORENTO GASOLINA |TRUE|KIA|Mini|0|3500|Gasolina|||Pasajeros|Mecanica|SORENTO|
1722|1|2020-11-10 12:50:00|a|LANCER AUT,  2,0|TRUE|MITSUBISHI|Mini|0|2000|Gasolina|||Pasajeros|Mecanica||
KKJR418BNC1|1|2020-11-10 12:50:00|a|CRUZE 1,8L AT|TRUE|CHEVROLET|Lower Medium|5|1800|Gasolina|||Pasajeros|Automatica|CRUZE|
1724|1|2020-11-10 12:50:00|a|VAN N200 1,2L M-T PLUS |TRUE|CHEVROLET|Van|0|1200|Gasolina|||Pasajeros|Mecanica|N200|
1725|1|2020-11-10 12:50:00|a|15HA8 AT1,5 5P|TRUE|MAZDA|Lower Medium|5|1500|Gasolina|||Pasajeros|Automatica||
1726|1|2020-11-10 12:50:00|a|MAZDA 5  AUT,  2,0|TRUE|MAZDA|Mini|0|2000|Gasolina|||Pasajeros|Mecanica||
1728|1|2020-11-10 12:50:00|a|MAZDA CX9  AUTOM,   3700|TRUE|MAZDA|Utilitarios|7|3700|Gasolina|||Pasajeros|Automatica||
