|||||||60|1|2020-11-10 12:50:00|a|ACCENT 1,3 SEDAN|TRUE|HYUNDAI|Taxi|0|1300|Gasolina|||Pasajeros|Mecanica|ACCENT|null
|||||||CKTR414HACC|1|2020-11-10 12:50:00|a|AVEO 1,4 5P S-A|TRUE|CHEVROLET|Small|4|1400|Gasolina|||Pasajeros|Mecanica|AVEO|null
|||||||XY01|1|2020-11-10 12:50:00|a|CORSA EVOLUTION 5P S-A|TRUE|CHEVROLET|Small|0|1400|Gasolina|||Pasajeros|Mecanica|CORSA|null
|||||||911475151|1|2020-11-10 12:50:00|a|GRAND VITARA SZ 2,7L A-T|TRUE|SUZUKI|Utilitarios|5|2700|Gasolina|||Pasajeros|Automatica|GRAND VITARA|null
|||||||66|1|2020-11-10 12:50:00|a|AGRALE|TRUE|INTERNATIONAL|Mini|0|0|Gasolina|||Pasajeros|Mecanica||null
|||||||69|1|2020-11-10 12:50:00|a|AGRALE 8,5TCA MICROBUS|TRUE|OTROS|Mini|0|8500|Gasolina|||Pasajeros|Mecanica||null
|||||||70|1|2020-11-10 12:50:00|a|HI TOPIC M-T|TRUE|ASIA|Mini|0|0|Gasolina|||Pasajeros|Mecanica||null
|||||||71|1|2020-11-10 12:50:00|a|TOWNER PAS AA|TRUE|ASIA|Mini|0|0|Gasolina|||Pasajeros|Mecanica||null
|||||||73|1|2020-11-10 12:50:00|a|COMBI BUSETA|TRUE|ASIA|Mini|0|0|Gasolina|||Pasajeros|Mecanica||null
|||||||CKTR414UBCC|1|2020-11-10 12:50:00|a|AVEO 1,4 3P C-A|TRUE|CHEVROLET|Small|4|1400|Gasolina|||Pasajeros|Mecanica|AVEO|null
|||||||76|1|2020-11-10 12:50:00|a|BUS ARTICULADO B10M MEGABUS|TRUE|VOLVO|Mini|0|0|Gasolina|||Pasajeros|Mecanica||null
|||||||B5SR14US1S|1|2020-11-10 12:50:00|a|CORSA @CTIVE S-A|TRUE|CHEVROLET|Mini|4|1400|Gasolina|||Pasajeros|Mecanica|CORSA|null
|||||||B5SR14UT1S|1|2020-11-10 12:50:00|a|CORSA @CTIVE A-C|TRUE|CHEVROLET|Mini|4|1400|Gasolina|||Pasajeros|Mecanica|CORSA|null
|||||||B5SR416BAC9|1|2020-11-10 12:50:00|a|TAXI POWER|TRUE|CHEVROLET|Taxi|5|1600|Gasolina|||Pasajeros|Mecanica|TAXI POWER|null
|||||||X5SR416HACS|1|2020-11-10 12:50:00|a|CHEVY C2 5 PTAS 1,6 M-T|TRUE|CHEVROLET|Small|0|1600|Gasolina|||Pasajeros|Mecanica||null
